Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-tl-cl-switch,TABLE LAMP SWITCH CLEAR (ON-OFF),Default Title,Default Title,,,,,+ACC TL/CL SWITCH,,,123 William Street,,,,,,,29
acc-tl-dimmer-bk,TABLE LAMP DIMMER SWITCH (BLACK),Default Title,Default Title,,,,,+ACC TL/DIMMER BK,,,123 William Street,,,,,,,21
acc-tl-dimmer-cl,TABLE LAMP DIMMER SWITCH (CLEAR),Default Title,Default Title,,,,,+ACC TL/DIMMER CL,,,123 William Street,,,,,,,40
acc-tl-dimmer-gd,TABLE LAMP DIMMER SWITCH (GOLD),Default Title,Default Title,,,,,+ACC TL/DIMMER GD,,,123 William Street,,,,,,,15
acc-tl-dimmer-wh,TABLE LAMP DIMMER SWITCH (WHITE),Default Title,Default Title,,,,,+ACC TL/DIMMER WH,,,123 William Street,,,,,,,10
acc-u-clip,U-CLIP (AAG),Default Title,Default Title,,,,,+ACC U-CLIP,,,123 William Street,,,,,,,6
acc-wire,WIRE (ACC.),Default Title,Default Title,,,,,+ACC WIRE,,,123 William Street,,,,,,,0
acc-wire-gold,VDE 3 CORE GOLD WIRE(METRE) - NW,Default Title,Default Title,,,,,+ACC WIRE GOLD,,,123 William Street,,,,,,,102
b-dk-11e,DK-11E ELECTRONIC SWITCH (A73),Default Title,Default Title,,,,,+B DK-11E,,,123 William Street,,,,,,,9
b-eb-cdmtm20w-ph,ELECTRONIC BALLAST HID-PVM 020/CDM HPF FOR CDM-,Default Title,Default Title,,,,,+B EB CDMTM20W PH,,,123 William Street,,,,,,,0
b-eb-fbc136,ELECTRONIC BALLAST FBC 1X36W - VOSSLOH,Default Title,Default Title,,,,,+B EB FBC136,,,123 William Street,,,,,,,0
b-eb-fbc236-vos,ELECTRONIC BALLAST FBC 2X36W - VOSSLOH,Default Title,Default Title,,,,,+B EB FBC236 VOS,,,123 William Street,,,,,,,0
b-eb-t5-2x28-54-da-li,TRIDONIC PCA ELECTRONIC BALLAST 2X28/54 T5 ECO IP -,Default Title,Default Title,,,,,+B EB T5 2X28/54 DA LI,,,123 William Street,,,,,,,0
b-eb-t5-he,ELECTRONIC BALLAST T5/EL1X14-35W - HELVAR,Default Title,Default Title,,,,,+B EB T5 HE,,,123 William Street,,,,,,,37
b-eb-t5-114-vos,VOS-SWB ELECTRONIC BALLAST T5 ELXC 1x14W,Default Title,Default Title,,,,,+B EB T5/114 VOS,,,123 William Street,,,,,,,2
b-eb-t5-128-vos,VOS-SWB ELECTRONIC BALLAST T5 1x28W (540499),Default Title,Default Title,,,,,+B EB T5/128 VOS,,,123 William Street,,,,,,,0
b-eb-t5-14w-philips,ELECTRONIC BALLAST T5 14W - PHILIPS (EBC 9137 131,Default Title,Default Title,,,,,+B EB T5/14W PHILIPS,,,123 William Street,,,,,,,9
b-eb-t5-14w-28w,T5 14W-28W (5028) ELECTRONIC BALLAST (BENTE),Default Title,Default Title,,,,,+B EB T5/14W-28W,,,123 William Street,,,,,,,142
b-eb-t5-214w-phili-ps,ELECTRONIC BALLAST T5 2X14W PHILIPS (EB-C214TL5),Default Title,Default Title,,,,,+B EB T5/214W PHILI PS,,,123 William Street,,,,,,,0
b-eb-t5-21w-philips,ELECTRONIC BALLAST T5 21W - PHILIPS,Default Title,Default Title,,,,,+B EB T5/21W PHILIPS,,,123 William Street,,,,,,,9
b-eb-t5-228-vos,VOS-SWB ELECTRONIC BALLAST FBC-228 T5 2x28W,Default Title,Default Title,,,,,+B EB T5/228 VOS,,,123 William Street,,,,,,,0
b-eb-t5-28w-philips,ELECTRONIC BALLAST T5 28W - PHILIPS,Default Title,Default Title,,,,,+B EB T5/28W PHILIPS,,,123 William Street,,,,,,,2
